"Ranking","Image","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"235","https://static-cdn.jtvnw.net/jtv_user_pictures/1216f81a-2fdb-4df6-9eeb-972c191964fd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","BLASTPremier","1527621255","39675","227568","38503","1508398","277525","true","false","English","BLASTPremier"
"236","https://static-cdn.jtvnw.net/jtv_user_pictures/84138061-a22c-40ff-8ca4-fc41e70ff513-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Roier","275537970","21675","300741","12712","1501457","852234","true","false","Spanish","Roier"
"237","https://static-cdn.jtvnw.net/jtv_user_pictures/399bcd9d-9516-431d-93e4-c118a47ae6bf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Llobeti4","58449525","54780","6453","1066","1498718","38877","true","false","Spanish","Llobeti4"
"238","https://static-cdn.jtvnw.net/jtv_user_pictures/599b546a-c27f-4684-93ff-5eeecd01fb2b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ZeratoR","1295145975","88215","269056","14681","1497895","152337","true","false","French","ZeratoR"
"239","https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Fextralife","2545304280","155115","132079","16409","1483859","153530","true","false","English","Fextralife"
"240","https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","nl_Kripp","561761295","137100","14218","4097","1481740","80099","true","false","English","nl_Kripp"
"241","https://static-cdn.jtvnw.net/jtv_user_pictures/ced31775-5eb0-458a-b3c2-bd94b3587ec1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Sommerset","370781655","167040","27770","2219","1479034","360716","true","false","English","Sommerset"
"242","https://static-cdn.jtvnw.net/jtv_user_pictures/c2aca19b-b318-4398-99a5-fb6a597536fd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ironmouse","774058035","94425","45312","8197","1478184","357764","true","true","English","ironmouse"
"243","https://static-cdn.jtvnw.net/jtv_user_pictures/b73e815a-2033-4145-aaf0-2c41bea6d271-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Alinity","195064155","47955","10655","4067","1476940","11413","true","false","English","Alinity"
"244","https://static-cdn.jtvnw.net/jtv_user_pictures/148c3b8a-a78b-4139-a429-7d3d90ce8a27-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","CohhCarnage","1501385955","176475","31629","8507","1475025","41189","true","false","English","CohhCarnage"
